id,first_name,last_name,games_played,total_points,avg_points,high_score,low_score,final_cost,final_selections,is_def,is_mid,is_ruc,is_fwd
298174,Toby,Nankervis,9,706,78.4,115,35,515000,7155,False,False,True,False
291902,Jack,Viney,21,1729,82.3,123,47,545000,1805,False,True,False,False
271129,Todd,Goldstein,22,1944,88.4,153,60,637000,8837,False,False,True,False
298264,Ed,Langdon,22,2026,92.1,118,54,635000,1508,False,True,False,False
280078,Luke,Shuey,22,2222,101,142,72,673000,6837,False,True,False,False
998172,Tim,Taranto,22,2476,112.5,156,75,739000,32239,False,True,False,False
293871,Jack,Crisp,22,2150,97.7,142,49,680000,29219,True,False,False,False
291533,Tom,McDonald,15,957,63.8,127,23,485000,1399,False,False,False,True
998128,Alex,Witherden,21,1570,74.8,112,3,459000,8747,True,False,False,False
294877,Isaac,Smith,19,1614,84.9,112,63,607000,666,False,True,False,False
261230,Matthew,Lobbe,2,120,60,62,58,517000,3295,False,False,True,False
296351,Jack,Billings,22,2168,98.5,170,55,665000,23506,False,True,False,True
261323,Ben,McEvoy,19,1583,83.3,127,17,524000,3158,False,False,True,False
296324,Jesse,Hogan,12,793,66.1,120,11,433000,675,False,False,False,True
260382,Josh,P. Kennedy,19,1905,100.3,150,68,647000,1956,False,True,False,False
290311,Mitch,Robinson,22,2060,93.6,129,48,666000,7117,False,True,False,True
993799,Brayden,Fiorini,21,2094,99.7,144,63,602000,2549,False,True,False,False
295898,Tim,Kelly,22,2131,96.9,141,56,612000,65701,False,True,False,True
250222,Nathan,Jones,22,1620,73.6,114,46,444000,1342,False,True,False,False
240052,David,Mundy,22,1772,80.5,125,42,476000,5211,False,True,False,True
240283,Shannon,Hurn,19,1736,91.4,137,61,569000,13236,True,False,False,False
298272,Touk,Miller,18,1637,90.9,149,28,645000,1974,False,True,False,False
261510,Tom,Hawkins,22,1559,70.9,105,23,471000,3544,False,False,False,True
261299,Matthew,Kreuzer,15,1241,82.7,122,43,563000,1502,False,False,True,False
250365,Travis,Boak,21,2219,105.7,144,59,638000,56216,False,True,False,True
240700,Heath,Shaw,22,1814,82.5,128,47,568000,4852,True,False,False,False
291201,Ricky,Henderson,22,2126,96.6,143,45,567000,2714,False,True,False,False
291351,Jack,Gunston,20,1522,76.1,133,45,506000,1763,False,False,False,True
270811,Sam,Jacobs,5,402,80.4,115,59,550000,3001,False,False,True,False
280944,Jack,Ziebell,22,1974,89.7,155,32,614000,9860,False,True,False,True
240359,Dale,Thomas,20,1591,79.6,130,46,571000,6947,True,False,False,False
250395,Jack,Riewoldt,10,585,58.5,89,32,422000,12390,False,False,False,True
270732,Matthew,Suckling,18,1524,84.7,119,41,558000,1196,True,False,False,True
291313,Jeremy,Howe,19,1319,69.4,100,22,504000,5291,True,False,False,False
280858,Shane,Savage,22,1723,78.3,119,46,511000,1592,True,False,False,False
290627,Dion,Prestia,22,2186,99.4,130,66,716000,8420,False,True,False,False
291962,Chad,Wingard,14,1098,78.4,128,41,592000,4670,False,True,False,True
